,,,,,,,,,,Month,,,
Spot-Tail Whaler,< 2m,Shark,Female,Active,1-2m,Lammermoor Beach Drum 18,Lammermoor Beach,Capricorn Coast,Dead,1,,,1
Spot-Tail Whaler,< 2m,Shark,Female,Active,1-2m,Smart 577 Fishermans Beach Drum 47,Smart 577 Fishermans Beach,Capricorn Coast,Alive,2,,,2
Spot-Tail Whaler,< 2m,Shark,Female,Active,1-2m,Tannum Sands Drum 6,Tannum Sands,Gladstone,Dead,1,,,1
Spot-Tail Whaler,< 2m,Shark,Female,Active,1-2m,Tannum Sands Drum 7,Tannum Sands,Gladstone,Dead,,,1,1
Spot-Tail Whaler,< 2m,Shark,Female,Active,1-2m,The Strand Drum 55,The Strand,Townsville,Dead,1,,,1
Spot-Tail Whaler,< 2m,Shark,Female,Active,1-2m,Trinity Drum 26,Trinity,Cairns,Dead,1,,,1
Spot-Tail Whaler,< 2m,Shark,Female,Active,1-2m Total,,,,,9,1,1,11
Spot-Tail Whaler,< 2m,Shark,Male,Active,0-1m,Holloways Drum 37,Holloways,Cairns,Dead,1,,,1
Spot-Tail Whaler,< 2m,Shark,Male,Active,1-2m,Ellis Beach Drum 1,Ellis Beach,Cairns,Dead,1,,,1
Spot-Tail Whaler,< 2m,Shark,Male,Active Total,,,,,,2,,,2
Spot-Tail Whaler,< 2m,Shark,Unknown,Active,1-2m,The Strand Drum 55,The Strand,Townsville,Dead,1,,,1
Spot-Tail Whaler,< 2m,Shark Total,,,,,,,,12,1,1,14
Tawny Shark,< 2m,Shark,Female,Active,1-2m,Eimeo Beach Drum 15,Eimeo Beach,Mackay,Alive,,1,,1
Tawny Shark,< 2m,Shark,Female,Active,1-2m,Palm Cove Drum 11,Palm Cove,Cairns,Alive,1,,,1
Tawny Shark,< 2m,Shark,Female,Active,1-2m Total,,,,,1,1,,2
Tawny Shark,>= 2m,Shark,Female,Active,2-3m,Caloundra Beach Drum 56,Caloundra Beach,Sunshine Coast South,Alive,,1,,1
Tawny Shark,>= 2m,Shark,Female,Active,2-3m,Eimeo Beach Drum 18,Eimeo Beach,Mackay,Alive,,,1,1
Tawny Shark,>= 2m,Shark,Female,Active,2-3m,Palarenda Beach Drum 45,Palarenda Beach,Townsville,Alive,1,,,1
Tawny Shark,>= 2m,Shark,Female,Active,2-3m,Radical Bay Drum 26,Radical Bay,Townsville,Alive,1,,,1
Tawny Shark,>= 2m,Shark,Female,Active,2-3m Total,,,,,2,1,1,4
Tawny Shark,>= 2m,Shark,Male,Active,2-3m,Horseshoe Bay Drum 35,Horseshoe Bay,Townsville,Alive,,1,,1
Tawny Shark,>= 2m,Shark,Male,Active,2-3m,Horseshoe Bay Drum 39,Horseshoe Bay,Townsville,Alive,1,,,1
Tawny Shark,>= 2m,Shark,Male,Active,2-3m,Nelly Bay Drum 6,Nelly Bay,Townsville,Alive,1,,,1
Tawny Shark,>= 2m,Shark,Male,Active,2-3m,Palm Beach Drum 21,Palm Beach,Gold Coast,Alive,,,1,1
Tawny Shark,>= 2m,Shark,Male,Active,2-3m,The Strand Drum 47,The Strand,Townsville,Alive,1,,,1
Tawny Shark,>= 2m,Shark,Male,Active,2-3m Total,,,,,3,1,1,5
Tawny Shark,>= 2m,Shark,Unknown,Active,2-3m,Farnborough Beach Drum 5,Farnborough Beach,Capricorn Coast,Alive,1,,,1
Tawny Shark,>= 2m,Shark,Unknown,Active,2-3m,Mullambin Beach Drum 35,Mullambin Beach,Capricorn Coast,Alive,,1,,1
Tawny Shark,>= 2m,Shark,Unknown,Active,2-3m Total,,,,,1,1,,2
Tawny Shark,>= 2m,Shark Total,,,,,,,,6,3,2,11
Tawny Shark Total,,,,,,,,,,7,4,2,13
Tiger Shark,< 2m,Shark,Female,Active,0-1m,Smart 555 Tanby Point Drum 41,Smart 555 Tanby Point,Capricorn Coast,Alive,,1,,1
Tiger Shark,< 2m,Shark,Female,Active,1-2m,Rainbow Beach Drum 3,Rainbow Beach,Rainbow Beach,Dead,1,,,1
Tiger Shark,< 2m,Shark,Female,Active,1-2m,Smart 577 Fishermans Beach Drum 47,Smart 577 Fishermans Beach,Capricorn Coast,Alive,,1,,1
Tiger Shark,< 2m,Shark,Female,Active,1-2m Total,,,,,1,1,,2
Tiger Shark,< 2m,Shark,Female,Active Total,,,,,,1,2,,3
Tiger Shark,>= 2m,Shark,Female,Active,2-3m,Ellis Beach Drum 7,Ellis Beach,Cairns,Alive,,1,,1
Tiger Shark,>= 2m,Shark,Female,Active,2-3m,Ellis Beach Drum 7,Ellis Beach,Cairns,Dead,1,,,1
Tiger Shark,>= 2m,Shark,Female,Active,2-3m,Ellis Beach Drum 7,Ellis Beach,Cairns Total,,1,1,,2
Tiger Shark,>= 2m,Shark,Female,Active,2-3m,Holloways Drum 38,Holloways,Cairns,Dead,1,,,1
Tiger Shark,>= 2m,Shark,Female,Active,2-3m,Horseshoe Bay Drum 37,Horseshoe Bay,Townsville,Dead,,1,,1
Tiger Shark,>= 2m,Shark,Female,Active,2-3m,Kellys Beach Drum 14,Kellys Beach,Bundaberg,Alive,1,,,1
Tiger Shark,>= 2m,Shark,Female,Active,2-3m,Kellys Beach Drum 14,Kellys Beach,Bundaberg,Dead,,1,,1
Tiger Shark,>= 2m,Shark,Female,Active,2-3m,Kellys Beach Drum 14,Kellys Beach,Bundaberg Total,,1,1,,2
Tiger Shark,>= 2m,Shark,Female,Active,2-3m,Mullambin Beach Drum 33,Mullambin Beach,Capricorn Coast,Alive,1,,,1
Tiger Shark,>= 2m,Shark,Female,Active,2-3m,Neilson Park Drum 4,Neilson Park,Bundaberg,Alive,1,,,1
Tiger Shark,>= 2m,Shark,Female,Active,2-3m,Rainbow Bay Drum 34,Rainbow Bay,Gold Coast,Alive,1,,,1
Tiger Shark,>= 2m,Shark,Female,Active,2-3m Total,,,,,6,3,,9
Tiger Shark,>= 2m,Shark,Female,Active,3-4m,Fishermans Beach Drum 44,Fishermans Beach,Capricorn Coast,Dead,,1,,1
Tiger Shark,>= 2m,Shark,Female,Active,3-4m,Harbour Beach Drum 42,Harbour Beach,Mackay,Alive,1,,,1
Tiger Shark,>= 2m,Shark,Female,Active,3-4m,Harbour Beach Net 2,Harbour Beach,Mackay,Dead,1,,,1
Tiger Shark,>= 2m,Shark,Female,Active,3-4m,Kellys Beach Drum 12,Kellys Beach,Bundaberg,Alive,1,,,1
Tiger Shark,>= 2m,Shark,Female,Active,3-4m,Kellys Beach Drum 13,Kellys Beach,Bundaberg,Dead,,1,,1
Tiger Shark,>= 2m,Shark,Female,Active,3-4m,Moffat Beach Drum 54,Moffat Beach,Sunshine Coast South,Alive,,1,,1
Tiger Shark,>= 2m,Shark,Female,Active,3-4m,Neilson Park Drum 7,Neilson Park,Bundaberg,Dead,,1,,1
Tiger Shark,>= 2m,Shark,Female,Active,3-4m,Palarenda Beach Drum 44,Palarenda Beach,Townsville,Dead,,,1,1
Tiger Shark,>= 2m,Shark,Female,Active,3-4m,Radical Bay Drum 30,Radical Bay,Townsville,Dead,1,,,1
Tiger Shark,>= 2m,Shark,Female,Active,3-4m,Woorim (Bribie Island) Drum 61,Woorim (Bribie Island),Bribie Island,Alive,,1,,1
Tiger Shark,>= 2m,Shark,Female,Active,3-4m,Yorkeys Drum 29,Yorkeys,Cairns,Dead,1,,,1
Tiger Shark,>= 2m,Shark,Female,Active,3-4m Total,,,,,5,5,1,11
Tiger Shark,>= 2m,Shark,Female,Active,4-5m,Emu Park Drum 53,Emu Park,Capricorn Coast,Alive,,1,,1
Tiger Shark,>= 2m,Shark,Female,Active Total,,,,,,11,9,1,21
Tiger Shark,>= 2m,Shark,Male,Active,2-3m,Alma Bay Drum 15,Alma Bay,Townsville,Alive,,,1,1
Tiger Shark,>= 2m,Shark,Male,Active,2-3m,Florence Bay Drum 21,Florence Bay,Townsville,Alive,,1,,1
Tiger Shark,>= 2m,Shark,Male,Active,2-3m,Harbour Beach Net 2,Harbour Beach,Mackay,Dead,1,,,1
Tiger Shark,>= 2m,Shark,Male,Active,2-3m,Kemp Beach Drum 28,Kemp Beach,Capricorn Coast,Alive,,,1,1
Tiger Shark,>= 2m,Shark,Male,Active,2-3m,Tanby Point Drum 41,Tanby Point,Capricorn Coast,Alive,,1,,1
Tiger Shark,>= 2m,Shark,Male,Active,2-3m,Trinity Drum 28,Trinity,Cairns,Dead,,,1,1
Tiger Shark,>= 2m,Shark,Male,Active,2-3m,Yeppoon Beach Drum 8,Yeppoon Beach,Capricorn Coast,Dead,1,,,1
Tiger Shark,>= 2m,Shark,Male,Active,2-3m Total,,,,,2,2,3,7
Tiger Shark,>= 2m,Shark,Male,Active,3-4m,Cooee Bay Drum 16,Cooee Bay,Capricorn Coast,Alive,,1,,1
Tiger Shark,>= 2m,Shark,Male,Active,3-4m,Nobbys Beach Drum 17,Nobbys Beach,Gold Coast,Alive,1,,,1
Tiger Shark,>= 2m,Shark,Male,Active,3-4m,Smart 576 Fishermans Beach Drum 45,Smart 576 Fishermans Beach,Capricorn Coast,Alive,,1,,1
Tiger Shark,>= 2m,Shark,Male,Active,3-4m,Tannum Sands Drum 5,Tannum Sands,Gladstone,Dead,1,,,1
Tiger Shark,>= 2m,Shark,Male,Active,3-4m Total,,,,,2,2,,4
Tiger Shark,>= 2m,Shark,Male,Active Total,,,,,,4,4,3,11
Tiger Shark,>= 2m,Shark Total,,,,,,,,15,13,4,32
Tiger Shark Total,,,,,,,,,,16,15,4,35
Tuna,Non-shark,Other,Unknown,Active,Non-shark,Main Beach Net 1,Main Beach,Gold Coast,Dead,1,,,1
White Shark,>= 2m,Shark,Female,Active,3-4m,North Burleigh Drum 20,North Burleigh,Gold Coast,Dead,1,,,1
White Shark,>= 2m,Shark,Male,Active,3-4m,Caloundra Beach Drum 55,Caloundra Beach,Sunshine Coast South,Dead,,,1,1
White Shark,>= 2m,Shark,Unknown,Active,2-3m,Ocean Beach Drum 33,Ocean Beach,Nth Stradbroke Is.,Dead,,,1,1
White Shark,>= 2m,Shark Total,,,,,,,,1,,2,3
Grand Total,,,,,,,,,,116,86,31,233
